0 0 . 1 163.3
1 . . 3 135.3
1 1 . 3 164.4
0 0 0 3 203.8
1 1 1 1 198.4
1 . . 3 160.6
1 . . 3 270.1
1 0 0 3 235.7
1 1 1 1 175.8
1 1 . 3 232.8
1 1 1 1 142.8
1 1 1 1 155.1
1 1 1 1 213.3
1 . . 1 141.9
1 1 . 1 174.1
1 1 . 1 189.3
0 1 . 3 259.2
1 0 . 3 189.3
1 0 . 1 178.6
0 0 0 1 216.1
1 1 . 1 204.6
1 0 0 2 181.9
1 0 1 1 195.8
0 . . 2 264.7
1 . . 1 84.9
0 1 . 3 235.1
1 1 0 1 148.5
0 0 . 3 262.6
0 0 . 2 242.6
1 . . 1 123.1
1 . . 1 200
1 0 0 1 180.2
0 . . 1 164.1
1 0 0 1 154.2
1 1 1 1 122.2
1 0 0 2 294.1
1 0 0 1 170.1
1 1 1 1 195.4
1 1 1 1 171.3
1 1 . 2 299.5
1 0 . 3 231.2
1 . . 1 192
0 0 . 2 156.4
0 1 0 3 272
1 0 0 1 157.3
0 0 0 1 198.1
1 0 0 3 168.8
1 1 0 1 167.5
1 . . 1 186.1
1 1 1 1 90.7
0 0 1 2 245.8
1 0 0 3 202.2
1 1 . 3 250.2
1 . . 1 199.3
1 1 1 3 252.7
1 0 0 2 267.6
1 1 . 1 152.1
1 0 . 3 225.1
1 0 0 1 172
1 0 0 1 163.3
1 1 . 1 143.3
0 1 0 3 256.2
1 1 1 1 166.7
1 1 0 2 188.4
0 0 . 1 137.4
1 1 1 1 189.4
1 0 1 3 177.7
1 1 0 1 210.3
1 1 1 1 74.9
1 1 0 1 216.3
1 1 . 1 146.1
1 1 . 2 263.5
1 0 0 2 237.1
1 . . 1 122.8
0 0 0 3 217.7
0 1 0 1 209.9
0 0 0 1 234.1
1 . . 1 159.5
1 1 0 1 252.9
1 1 . 3 286
1 1 . 1 219.3
1 1 0 2 266
1 1 . 3 243.7
1 0 0 1 146.7
0 0 . 3 204.3
1 . . 1 159.3
1 1 . 1 194.7
0 0 0 3 233.2
1 0 0 1 266.6
1 0 0 1 186.7
1 . . 1 177.1
1 . . 1 191.8
1 0 . 1 196.7
1 . . 1 247.3
1 0 0 1 222
1 1 0 2 224.3
1 . . 1 153.7
1 1 0 1 274.8
0 0 . 3 155.1
1 . . 1 126.3
1 0 1 1 184.3
1 0 . 1 179.8
0 1 0 3 267
1 0 . 1 202.3
1 0 1 1 179.3
1 0 . 1 123.1
1 0 . 2 195.7
0 0 . 3 287.4
1 0 1 3 183.1
0 0 0 3 250.5
1 0 . 1 107.9
1 1 1 1 209.7
1 0 1 1 113
1 1 0 1 215.1
1 1 . 1 185.1
1 1 . 1 183.8
1 0 0 1 220.9
1 0 0 1 167.8
1 0 . 3 216.5
1 1 1 2 177
1 0 1 1 142.9
1 1 1 1 169.2
0 1 . 1 176.8
1 1 0 2 214.7
1 1 0 2 243.4
1 1 1 3 213.3
0 1 0 1 227.8
1 0 0 3 155.1
0 0 . 1 180
1 0 1 1 89.4
1 0 0 3 182.6
1 1 . 3 181.5
0 1 0 3 290.1
1 . . 1 209.8
0 . . 2 249.3
0 . . 1 238.8
0 0 0 1 197
1 1 0 3 290.1
1 0 0 2 165.4
1 1 . 1 249.2
1 . . 1 131.9
1 1 . 1 177.7
1 1 0 3 263.5
1 1 1 1 169.1
1 1 0 3 223.1
1 0 0 3 145.1
1 0 0 3 269.5
1 . . 1 140.5
1 1 . 2 233
1 1 0 1 225.6
1 1 1 1 152.4
1 1 0 1 220.4
0 0 0 1 173.6
1 0 0 2 199.4
1 . . 1 189.2
1 1 . 1 184.9
1 1 0 3 260.3
1 . . 1 187.5
1 0 1 1 135.9
1 0 0 1 169.7
