2.632 6.305
NA 9.415
4.887 NA
NA 8.34
5.075 7.423
4.9 7.704
4.088 NA
4.717 8.946
4.061 NA
4.246 6.339
5.335 7.824
4.362 NA
3.434 9.195
5.099 7.724
5.528 8.551
5.436 9.925
4.982 NA
3.931 NA
NA 7.236
5.889 8.9
5.442 9.625
5.722 8.041
6.025 NA
NA 7.395
5.681 8.586
5.369 8.01
6.252 NA
NA 9.995
4.914 6.816
4.644 7.73
6.289 8.928
3.272 NA
5.12 8
4.202 7.078
4.394 NA
4.663 8.674
4.69 8.08
NA 9.118
5.138 NA
4.918 6.507
NA 5.86
4.277 7.249
NA 8.66
4.184 NA
6.07 9.036
2.903 7.904
NA 8.823
NA 7.242
6.485 8.097
4.405 5.747
3.245 NA
3.872 6.548
NA 6.445
5.38 NA
4.205 NA
NA 7.096
6.555 NA
NA 7.267
6.198 6.908
5.556 NA
5.086 NA
6.583 NA
6.109 7.529
5.667 8.215
NA 8.632
6.126 8.476
6.286 8.701
NA 7.782
3.123 NA
NA 7.978
NA 8.413
NA 8.615
5.927 NA
3.902 7.83
4.575 NA
5.794 8.817
4.822 8.116
6.008 8.952
5.268 7.924
6.226 8.008
5.801 7.89
NA 8.664
2.857 5.299
7.518 9.521
6.756 9.738
NA 7.055
NA 7.43
5.249 7.85
4.851 NA
NA 6.224
NA 6.851
5.841 8.558
6.639 NA
4.002 6.635
NA 9.473
4.186 7.275
5.573 9.792
NA 8.509
4.586 NA
6.094 9.332
3.647 NA
NA 7.81
NA 8.29
NA 7.386
5.875 8.948
5.311 7.602
5.312 NA
NA 7.779
5.644 NA
5.403 8.754
4.745 7.542
3.925 7.585
NA 7.327
4.15 NA
5.836 8.036
NA 7.773
6.352 8.944
5.351 7.713
5.086 7.457
5.906 NA
5.347 8.634
4.76 NA
5.181 NA
8.174 NA
NA 9.35
3.855 7.683
NA 8.119
NA 8.964
5.573 7.201
4.267 8.564
4.648 8.848
4.614 NA
NA 7.604
NA 8.914
4.026 6.911
4.575 8.665
NA 9.747
3.49 NA
4.457 8.444
NA 8.503
5.011 NA
4.354 8.176
6.175 7.387
4.18 NA
5.073 NA
NA 8.819
5.382 7.426
NA 7.637
NA 7.438
5.476 8.994
4.474 7.083
5.702 NA
3.667 6.978
NA 9.467
4.167 6.953
4.006 8.123
2.075 NA
4.113 8.108
4.919 9.53
4.106 NA
3.388 5.808
4.032 7.957
5.545 9.077
4.072 9.453
NA 7.894
4.1 8.7
NA 6.792
6.828 9.623
4.381 6.009
6.119 NA
5.042 8.108
4.64 5.955
NA 7.328
NA 9.754
3.699 NA
4.759 6.091
6.189 9.218
4.501 8.514
3.891 6.285
2.759 NA
8.311 9.74
NA 9.526
NA 7.263
5.195 NA
5.484 NA
3.405 8.498
6.043 7.994
5.06 NA
6.522 NA
NA 9.577
4.083 6.109
4.877 8.729
3.108 7.438
5.436 NA
5.248 NA
4.099 8.196
NA 9.137
5.204 NA
5.174 7.613
4.766 NA
NA 5.911
5.639 8.139
4.427 8.71
4.388 7.943
NA 5.619
3.497 NA
3.606 5.805
3.043 7.291
3.89 7.18
5.743 NA
5.547 NA
6.013 NA
5.951 8.729
7.388 8.707
5.564 6.705
5.975 7.739
5.685 8.273
3.996 NA
4.491 NA
NA 9.293
NA 10.024
NA 6.792
5.479 NA
4.924 NA
4.495 7.588
7.397 8.249
4.464 8.524
5.065 NA
3.72 NA
NA 7.228
4.244 7.757
4.836 NA
5.134 NA
3.904 6.36
4.139 NA
7.09 8.121
6.546 7.847
5.801 7.017
5.836 7.3
5.118 NA
5.147 8.275
5.088 9.363
4.267 NA
5.319 7.707
5.66 7.633
3.475 7.455
NA 7.534
4.562 8.463
4.165 NA
NA 6.433
3.825 6.91
NA 7.201
4.475 NA
NA 7.427
5.449 6.649
5.556 NA
5.182 6.922
4.143 NA
3.49 6.469
4.677 6.401
5.587 NA
5.138 7.991
NA 9.947
NA 7.371
6.153 8.085
4.629 6.479
6.38 8.346
6.114 NA
6.648 8.97
6.064 7.205
5.826 8.119
3.243 7.22
NA 8.25
4.417 6.48
4.632 9.036
5.571 NA
NA 7.869
6.08 7.801
4.019 8.257
NA 7.84
4.511 NA
5.593 7.862
4.387 NA
5.343 8.519
3.909 7.914
5.591 9.125
NA 8.136
4.319 7.605
5.245 NA
NA 8.34
5.3 NA
3.266 NA
5.517 7.583
3.987 NA
2.799 6.9
3.785 7.375
6.341 NA
4.419 8.605
5.079 9.466
5.108 9.404
4.474 7.976
3.782 8.113
5.112 7.779
7.334 8.058
NA 6.496
4.343 NA
4.906 NA
3.542 6.674
3.331 7.072
4.581 NA
4.048 NA
NA 9.446
NA 7.05
5.978 8.218
6.407 8.453
3.123 7.552
4.805 NA
5.238 7.297
NA 5.546
4.533 8.75
4.04 NA
4.566 NA
4.186 NA
3.533 NA
6.237 NA
4.653 7.966
5.051 9.095
NA 8.288
NA 10.227
3.411 6.843
NA 10.502
3.871 7.169
4.641 9.103
NA 7.658
4.126 6.856
5.915 NA
3.868 5.949
5.391 6.542
5.587 8.606
NA 7.883
5.362 9.977
4.334 7.923
4.795 8.032
3.542 9.053
4.563 7.839
4.886 NA
5.066 NA
4.801 7.774
6.738 8.458
4.888 NA
4.784 7.965
NA 8.544
5.699 9.459
3.75 NA
4.089 8.292
5.2 7.817
4.27 8.074
6.842 7.574
6.531 9.663
3.381 NA
6.74 NA
4.349 7.379
3.358 NA
NA 7.494
7.97 8.997
4.512 7.389
6.059 9.115
NA 8.071
4.101 6.982
7.409 10.699
3.035 NA
6.624 9.996
4.634 NA
5.459 7.757
6.09 9.572
NA 6.456
4.345 NA
5.108 8.086
4.151 7.312
3.792 NA
4.648 6.588
NA 7.813
6.019 7.546
6.08 8.952
NA 9.197
6.766 NA
4.886 9.216
6.561 8.175
6.42 8.492
4.274 NA
NA 7.844
4.32 7.606
NA 8.411
4.099 NA
NA 8.568
5.684 8.469
5.827 7.166
4.127 5.805
6.48 9.582
5.141 7.918
5.873 NA
3.648 6.675
NA 8.63
NA 8.131
3.834 6.943
3.662 6.018
5.516 8.3
NA 9.853
4.018 7.377
NA 8.127
4.728 7.003
4.272 7.528
NA 6.246
NA 6.625
5.508 8.948
4.587 6.727
5.588 8.123
6.212 8.31
3.688 NA
4.317 7.428
3.924 8.026
5.534 8.025
5.432 8.306
5.371 7.156
NA 7.134
3.924 7.723
4.129 NA
4.888 7.912
4.805 6.734
NA 7.117
NA 7.843
4.991 NA
3.4 NA
